Profiles: ;src/scpnrg1.txt;The beta value: ;5;Solution Value: ;201
Profiles: ;src/scpnrg1.txt;The beta value: ;5;Solution Value: ;201
Profiles: ;src/scpnrg1.txt;The beta value: ;10;Solution Value: ;201
