Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;2;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;8;Solution Value: ;198
Profiles: ;src/scpnrg1.txt;The beta value: ;8;Solution Value: ;199
Profiles: ;src/scpnrg1.txt;The beta value: ;8;Solution Value: ;199
